"quasi"	"cmpcode"	"cmpdomain"
"Moving America Forward 2012 Democratic National Platform"	NA	NA
"Moving America Forward"	NA	NA
"Four years ago, Democrats, independents, and many Republicans came together as Americans to move our country forward."	0	"0"
"We were in the midst of the greatest economic crisis since the Great Depression,"	408	"4"
"the previous administration had put two wars on our nation’s credit card,"	305	"3"
"and the American Dream had slipped out of reach for too many."	601	"6"
"Today, our economy is growing again,"	408	"4"
"al-Qaeda is weaker than at any point since 9/11,"	104	"1"
"and our manufacturing sector is growing for the first time in more than a decade."	410	"4"
"But there is more we need to do, and so we come together again to continue what we started."	0	"0"
"We gather to reclaim the basic bargain that built the largest middle class and the most prosperous nation on Earth –"	601	"6"
"the simple principle that in America, hard work should pay off,"	601	"6"
"responsibility should be rewarded,"	601	"6"
"and each one of us should be able to go as far as our talent and drive take us."	601	"6"
"This election is not simply a choice between two candidates or two political parties,"	0	"0"
"but between two fundamentally different paths for our country and our families."	0	"0"
"We Democrats offer America the opportunity to move our country forward by creating an economy built to last and built from the middle out."	408	"4"
"Mitt Romney and the Republican Party have a drastically different vision."	305	"3"
"They still believe the best way to grow the economy is from the top down"	305	"3"
"– the same approach that benefited the wealthy few but crashed the economy and crushed the middle class."	408	"4"
"Democrats see a young country continually made stronger by the greatest diversity of talent and ingenuity in the world,"	607	"6"
"and a nation of people drawn to our shores from every corner of the globe."	607	"6"
"We believe America can succeed because the American people have never failed"	601	"6"
"and there is nothing that together we cannot accomplish."	601	"6"
"Reclaiming the economic security of the middle class is the challenge we must overcome today."	403	"4"
"That begins by restoring the basic values that made our country great,"	601	"6"
"and restoring for everyone who works hard and plays by the rules the opportunity to find a job that pays the bills, turn an idea into a profitable business, care for your family, afford a home you call your own and health care you can count on, retire with dignity and respect,"	503	"5"
"and, most of all, give your children the kind of education that allows them to dream even bigger and go even further than you ever imagined."	506	"5"
"This has to be our North Star – an economy that’s built not from the top down, but from a growing middle class,"	704	"7"
"and that provides ladders of opportunity for those working hard to join the middle class."	402	"4"
"This is not another trivial political argument."	0	"0"
"It’s the defining issue of our time and at the core of the American Dream."	601	"6"
