"quasi"	"cmpcode"	"cmpdomain"
"Preamble"	NA	NA
"We come together at a defining moment in the history of our nation – the nation that led the 20th century, built a thriving middle class, defeated fascism and communism, and provided bountiful opportunity to many."	0	"0"
"We Democrats have a special commitment to this promise of America."	305	"3"
"We believe that every American, whatever their background or station in life, should have the chance to get a good education, to work at a good job with good wages, to raise and provide for a family, to live in safe surroundings, and to retire with dignity and security."	601	"6"
"We believe that quality and affordable health care is a basic right."	503	"5"
"We believe that each succeeding generation should have the opportunity, through hard work, service and sacrifice, to enjoy a brighter future than the last."	706	"7"
"But today, we are at a crossroads."	0	"0"
"As we meet, we are in the sixth year of a two-front war."	104	"1"
"Our economy is struggling."	408	"4"
"Our planet is in peril."	501	"5"
"A great nation now demands that its leaders abandon the politics of partisan division and find creative solutions to promote the common good."	503	"5"
"A people that prizes candor, accountability, and fairness insists that a government of the people must level with them and champion the interests of all American families."	503	"5"
"A land of historic resourcefulness has lost its patience with elected officials who have failed to lead."	305	"3"
"It is time for a change."	305	"3"
"We can do better."	305	"3"
"And so, Democrats – through the most open platform process in history – are reaching out today to Republicans, Independents, and all Americans who hunger for a new direction a reason to hope."	305	"3"
"Today, at a defining moment in our history, the Democratic Party resolves to renew America’s promise."	305	"3"
"Over the past eight years, our nation’s leaders have failed us."	305	"3"
"Sometimes they invited calamity, rushing us into an ill-considered war in Iraq."	305	"3"
"But other times, when calamity arrived in the form of hurricanes or financial storms, they sat back, doing too little too late, and too poorly."	305	"3"
"The list of failures of this Administration is historic."	305	"3"
"The American Dream is at risk."	601	"6"
"Incomes are down and foreclosures are up."	408	"4"
"Millions of our fellow citizens have no health insurance while families working longer hours are pressed for time to care for their children and aging parents."	706	"7"
"Gas and home heating costs are squeezing seniors and working families alike."	706	"7"
"We are less secure and less respected in the world."	601	"6"
"After September 11, we could have built the foundation for a new American century, but instead we instigated an unnecessary war in Iraq before finishing a necessary war in Afghanistan."	305	"3"
"Careless policies, inept stewardship and the broken politics of this Administration have taken their toll on our economy, our security and our reputation."	305	"3"
"But even worse than the conditions we find ourselves in are the false promises that brought us here."	305	"3"
"The Republican leadership said they would keep us safe, but they overextended our military and failed to respond to new challenges."	305	"3"
"They said they would be compassionate conservatives, but they failed to rescue our citizens from the rooftops of New Orleans, neglected our veterans, and denied health insurance to children."	305	"3"
"They promised fiscal responsibility but instead gave tax cuts to the wealthy few and squandered almost a trillion dollars in Iraq."	305	"3"
"They promised reform but allowed the oil companies to write our energy agenda and the credit card companies to write the bankruptcy rules."	305	"3"
"These are not just policy failures."	305	"3"
"They are failures of a broken politics –a politics that rewards self-interest over the common interest and the short-term over the long-term, that puts our government at the service of the powerful."	305	"3"
"A politics that creates a state-of-the-art system for doling out favors and shuts out the voice of the American people."	305	"3"
"So, we come together not only to replace this President and his party –and not only to offer policies that will undo the damage they have wrought."	305	"3"
"Today, we pledge a return to core moral principles like stewardship, service to others, personal responsibility, shared sacrifice and a fair shot for all –values that emanate from the integrity and optimism of our Founders and generations of Americans since."	603	"6"
"Today, we Democrats offer leaders – from the White House to the State House – worthy of this country’s trust."	305	"3"
