"quasi"	"cmpcode"	"cmpdomain"
"We Believe in America"	NA	NA
"This platform is dedicated with appreciation and reverence for:"	NA	NA
"Preamble"	NA	NA
"The 2012 Republican Platform is a statement of who we are and what we believe as a Party"	305	"3"
"and our vision for a stronger and freer America."	601	"6"
"The pursuit of opportunity has defined America from our very beginning."	601	"6"
"This is a land of opportunity."	601	"6"
"The American Dream is a dream of equal opportunity for all."	503	"5"
"And the Republican Party is the party of opportunity."	305	"3"
"Today, that American Dream is at risk."	601	"6"
"Our nation faces unprecedented uncertainty with great fiscal and economic challenges,"	408	"4"
"and under the current Administration has suffered through the longest and most severe economic downturn since the Great Depression."	408	"4"
"Many Americans have experienced the burden of lost jobs, lost homes, and lost hopes."	0	"0"
"Our middle class has felt that burden most acutely."	704	"7"
"Meanwhile, the federal government has expanded its size and scope, its borrowing and spending, its debt and deficit."	0	"0"
"Federalism is threatened"	301	"3"
"and liberty retreats."	201	"2"
"For the world, this has been four years of lost American leadership,"	601	"6"
"leadership that depends upon economic vitality"	408	"4"
"and peace through strength."	106	"1"
"Put simply: The times call for trustworthy leadership and honest talk about the challenges we face."	0	"0"
"Our nation and our people cannot afford the status quo."	305	"3"
"We must begin anew, with profound changes in the way government operates;"	305	"3"
"the way it budgets, taxes, and regulates."	303	"3"
"Jefferson’s vision of a “wise and frugal government” must be restored."	601	"6"
"Providence has put us at the fork in the road, and we must answer the question: If not us, who?"	305	"3"
"If not now, when?"	305	"3"
"That is the choice facing the American people this November."	305	"3"
"Every voter will be asked to choose between the chronic high unemployment and the unsustainable debt produced by a big government entitlement society,"	0	"0"
"or a positive, optimistic view of an opportunity society, where any American who works hard, dreams big and follows the rules can achieve anything he or she wants."	401	"4"
"The American people possess vast reserves of courage and determination and the capacity to hear the truth and chart a strong course."	601	"6"
"They are eager for the opportunity to take on life’s challenges and, through faith and hard work, transform the future for the better."	601	"6"
"They are the most generous people on earth, giving sacrificially of their time, talent, and treasure."	601	"6"
