"quasi"	"cmpcode"	"cmpdomain"
"PREAMBLE"	NA	NA
"As we come together to declare our vision as Democrats, we are mindful that the challenges of our times are new and profound."	0	"0"
"This November, the choice we face as Americans may have more impact on our people and our place in the world than any in our lifetimes."	0	"0"
"We approach this task with a seriousness that matches the challenges before us, but also with a profound optimism about our future - an optimism that springs from our great faith in America, and our great pride in what it means to be Americans."	0	"0"
"We know the stakes are immeasurably high."	0	"0"
"For the first time in generations, we have been attacked on our own shores."	0	"0"
"Our brave men and women in uniform are still in harm's way in Iraq, Afghanistan, and the war against terror."	0	"0"
"Our alliances are frayed, our credibility in doubt."	0	"0"
"Our great middle class is hard-pressed."	704	"7"
"Millions of Americans have lost their jobs, and millions more are struggling under the mounting burden of life's everyday costs."	704	"7"
"In Washington, the President and his allies stubbornly press on, without regard to the needs of our people or the challenges of our times."	0	"0"
"It is time for a new direction."	0	"0"
"John Kerry, John Edwards and the Democratic Party bring a new vision for America - strong at home, respected abroad."	0	"0"
"An America that offers opportunity, rewards responsibility, and rejoices in diversity."	0	"0"
"We have a plan to build a strong, respected America: protecting our people, rebuilding our alliances, and leading the way to a more peaceful and prosperous world."	0	"0"
"We have a plan to build a strong, growing economy: creating good jobs, rewarding hard work, and restoring fiscal discipline."	404	"4"
"We have a plan to help our people build strong, healthy families: securing quality health care, offering world-class education, and ensuring clean air and water."	0	"0"
"And we will honor the values of a strong American community: widening the circle of equality, protecting the sanctity of freedom, and deepening our commitment to this country."	201	"2"
"In offering this vision, we affirm our faith in the greatness of America."	0	"0"
"We recommit to the ideal of a people united in helping one another, an ideal as old as the faiths we follow and as great as the country we love."	0	"0"
"To those who are threatened, we pledge protection; to those who are victims, we promise justice; to those who are hopeless, we offer hope."	0	"0"
"And to all Americans who seek a better future for themselves, for their loved ones, and for our country, we say: your cause is our own."	0	"0"
"That is the America we believe in."	0	"0"
"That is the America we are fighting for."	0	"0"
"That is the America we will build together - one nation, under God, indivisible, with liberty and justice for all."	0	"0"
"A STRONG, RESPECTED AMERICA"	NA	NA
"Alone among nations, America was born in pursuit of an idea - that a free people with diverse beliefs could govern themselves in peace."	201	"2"
"For more than a century, America has spared no effort to defend and promote that idea around the world."	201	"2"
"And over and over, that effort has been marked by the exercise of American leadership to forge powerful alliances based on mutual respect with longtime allies and reluctant friends; with nations already living in the light of democracy and with peoples struggling to join them."	101	"1"
"The might of our alliances, coupled with the strength of our democratic ideals, has been a driving force in the survival and success of freedom - in two World Wars, in the Korean War, in the Cold War, in the Gulf War and in Kosovo."	202	"2"
"America led instead of going it alone."	305	"3"
"We extended a hand, not a fist."	107	"1"
"We respected the world - and the world respected us."	107	"1"
"As Americans, we respect and honor our veterans."	706	"7"
"We are indebted to all those courageous men and women who have answered our country's call to duty."	706	"7"
"Their service and sacrifice, their dedication and love of country advance our cause of freedom and uphold our finest traditions as a nation."	706	"7"
"That is the America we believe in."	0	"0"
"That is the America we are fighting for."	0	"0"
"And that is the America we can be."	0	"0"
"But the Bush Administration has walked away from more than a hundred years of American leadership in the world to embrace a new - and dangerously ineffective - disregard for the world."	305	"3"
"They rush to force before exhausting diplomacy."	305	"3"
"They bully rather than persuade."	305	"3"
"They act alone when they could assemble a team."	305	"3"
"They hope for the best when they should prepare for the worst."	305	"3"
"Time and again, this Administration confuses leadership with going it alone and engagement with compromise of principle."	305	"3"
"They do not understand that real leadership means standing by your principles and rallying others to join you."	305	"3"
"John Kerry, John Edwards and the Democratic Party believe in a better, stronger America - an America that is respected, not just feared, and an America that listens and leads."	305	"3"
"Our vision has deep roots in our Declaration of Independence and Franklin Delano Roosevelt's Four Freedoms,"	203	"2"
"and in the tough-minded tradition of engagement and leadership-a tradition forged by Wilson and Roosevelt in two world wars, then championed by Truman and Kennedy during the Cold War."	305	"3"
"We believe in an America that people around the world admire, because they know we cherish not just our freedom, but theirs."	201	"2"
"Not just our democracy, but their hope for it."	202	"2"
"Not just our peace and security, but the world's."	106	"1"
"We believe in an America that cherishes freedom, safeguards our people, forges alliances, and commands respect."	201	"2"
"That is the America we are going to build."	0	"0"
"Our overriding goals are the same as ever: to protect our people and our way of life;"	601	"6"
"and to help build a safer, more peaceful,"	106	"1"
"more prosperous,"	410	"4"
"more democratic world."	202	"2"
"Today, we face three great challenges above all others - first, to win the global war against terror;"	104	"1"
"second, to stop the spread of nuclear, biological and chemical weapons;"	105	"1"
"and third, to promote democracy and freedom around the world, starting with a peaceful and stable Iraq."	202	"2"
"To meet these challenges, we need a new national security policy guided by four new imperatives:"	605	"6"
"First, America must launch and lead a new era of alliances for the post-September 11 world."	101	"1"
"Second, we must modernize the world's most powerful military to meet the new threats."	104	"1"
"Third, in addition to our military might, we must deploy all that is in America's arsenal -"	104	"1"
"our diplomacy,"	107	"1"
"our intelligence system,"	605	"6"
"our economic power,"	408	"4"
"and the appeal of our values and ideas."	601	"6"
"Fourth and finally, to safeguard our freedom and ensure our nation's future, we must end our dependence on Mideast oil."	102	"1"
"DEFEATING TERRORISM"	NA	NA
"Today, the Bush Administration is waging a war against a global terrorist movement committed to our destruction with insufficient understanding of our enemy or effort to address the underlying factors that can give rise to new recruits."	605	"6"
"This war isn't just a manhunt."	605	"6"
"We cannot rest until Osama bin Laden is captured or killed, but that day will mark only a victory in the war on terror, not its end."	605	"6"
"Terrorists like al Qaeda and its affiliates are unlike any adversary our nation has ever known."	605	"6"
"We face a global terrorist movement of many groups, funded from different sources with separate agendas, but all committed to assaulting the United States and free and open societies around the globe."	605	"6"
"Despite his tough talk, President Bush's actions against terrorism have fallen far short."	605	"6"
"He still has no comprehensive strategy for victory."	605	"6"
"After allowing bin Laden to escape from our grasp at Tora Bora, he diverted crucial resources from the effort to destroy al Qaeda in Afghanistan."	605	"6"
"His doctrine of unilateral preemption has driven away our allies and cost us the support of other nations."	605	"6"
"We must put in place a strategy to win - an approach that recognizes and addresses the many facets of this mortal challenge, from the terrorists themselves to the root causes that give rise to new recruits, and uses all the tools at our disposal."	605	"6"
"Agents of terrorism work in the shadows of more than 60 nations, on every continent."	605	"6"
"The only possible path to victory will be found in the company of others, not walking alone."	101	"1"
"With John Kerry as Commander-in-Chief, we will never wait for a green light from abroad when our safety is at stake,"	305	"3"
"but we must enlist those whose support we need for ultimate victory."	101	"1"
"Victory in the war on terror requires a combination of American determination and international cooperation on all fronts."	107	"1"
"It requires the ability and willingness to direct immediate, effective military action when the capture or destruction of terrorist groups and their leaders is possible;"	104	"1"
"a massive improvement in intelligence gathering and analysis coupled with vigorous law enforcement;"	605	"6"
"a relentless effort to shut down the flow of terrorist funds;"	605	"6"
"a global effort to prevent failed or failing states that can become sanctuaries for terrorists;"	605	"6"
"a sustained effort to deny terrorists any more recruits by conducting effective public diplomacy;"	605	"6"
"and a sustained political and economic effort to improve education,"	506	"5"
"work for peace,"	106	"1"
"support democracy and extend hope."	202	"2"
"Improving intelligence to find and stop terrorists."	NA	NA
"We will train and equip the military to enhance its capabilities to seek out and destroy terrorists."	104	"1"
"We will strengthen the capacity of intelligence and law enforcement around the world by forging stronger international coalitions to provide better information and communication."	605	"6"
"We must also improve our intelligence here at home."	605	"6"
"From the failure to uncover the September 11th plot to the deeply misguided reports about Iraq's supposed weapons of mass destruction, we have experienced unprecedented intelligence failures in recent years."	605	"6"
"We must do what President Bush has refused to do - reform our intelligence system by creating a true Director of National Intelligence with real control of intelligence personnel and budgets."	605	"6"
"We must train more analysts in languages spoken by terrorists."	605	"6"
"And we must break down the old communications barriers between national intelligence and local law enforcement, taking care to fully preserve our liberties."	605	"6"
"Cutting off terrorist funds."	NA	NA
"We will move decisively to cut off the flow of terrorist funds."	605	"6"
"We will impose tough financial sanctions against nations or banks that engage in money laundering or fail to act against it."	605	"6"
"We will strengthen our anti-money laundering laws to prevent terrorists from using hedge funds and unregulated institutions to finance terror."	605	"6"
"We will launch a \"name and shame\" campaign against those that are financing terror."	605	"6"
"If nations do not respond, they will be shut out of the U.S. financial system."	102	"1"
"And in the specific case of Saudi Arabia, we will put an end to the Bush Administration's kid-glove approach to the supply and laundering of terrorist money."	102	"1"
"Preventing Afghanistan and other nations from becoming terrorist havens."	NA	NA
"Nowhere is the need for collective endeavor greater than in Afghanistan."	605	"6"
"The Bush Administration has badly mishandled the war's aftermath."	605	"6"
"Two years ago, President Bush promised a Marshall Plan to rebuild that country."	605	"6"
"Instead, he has all but turned away from Afghanistan, allowing it to become again a potential haven for terrorists."	605	"6"
"We must expand NATO forces outside Kabul."	104	"1"
"We must accelerate training for the Afghan army and police."	104	"1"
"The program to disarm and reintegrate warlord militias into society must be expedited and expanded into a mainstream strategy."	605	"6"
"We will attack the exploding opium trade ignored by the Bush Administration by doubling our counter-narcotics assistance to the Karzai Government and reinvigorating the regional drug control program."	605	"6"
"Beyond Afghanistan, terrorist attacks from Saudi Arabia and Indonesia to Kenya, Morocco, and Turkey point to a widening network of terrorists targeting this country and our friends."	605	"6"
"Failed and failing states like Somalia or countries with large areas of limited government control like the Philippines and Indonesia need international help to close down terrorist havens."	101	"1"
"Increasing public diplomacy to promote understanding and prevent terrorist recruitment."	NA	NA
"At the core of this conflict is a fundamental struggle of ideas: democracy and tolerance against those who would use any means and attack any target to impose their narrow views."	202	"2"
"The war on terror is not a clash of civilizations."	605	"6"
"It is a clash of civilization against chaos."	605	"6"
"America needs a major initiative in public diplomacy to support the many voices of freedom in the Arab and Muslim world."	201	"2"
"To improve education for the next generation of Islamic youth, we need a cooperative international effort to compete with radical Madrassas."	506	"5"
"And we must support human rights groups,"	201	"2"
"independent media,"	201	"2"
"and labor unions dedicated to building a democratic culture from the grassroots up."	701	"7"
"Democracy will not blossom overnight, but America should speed its growth by sustaining the forces of democracy against repressive regimes and by rewarding governments that work toward this end."	202	"2"
"KEEPING WEAPONS OF MASS DESTRUCTION OUT OF THE HANDS OF TERRORISTS"	NA	NA
"There is no greater threat to American security than the possibility of terrorists armed with weapons of mass destruction."	605	"6"
"Preventing terrorists from gaining access to these weapons must be our number one security goal."	605	"6"
"Containing this massive threat requires American leadership of the highest order -"	305	"3"
"leadership that brings our allies, friends, and partners to greater collaboration and participation"	305	"3"
"- and compels problem states to join and comply with international agreements and abandon their weapons programs."	305	"3"
"Unfortunately, this Administration's policies have moved America in the opposite direction."	305	"3"
"They have weakened international agreements and efforts to enforce non-proliferation instead of strengthening them."	305	"3"
"They have not done nearly enough to secure existing stockpiles and bomb-making materials."	605	"6"
"They have failed to take effective steps to stop the North Korean and Iranian nuclear programs."	102	"1"
"We must change course now."	305	"3"
"Defending America against attack at all costs."	NA	NA
"First, the world should be on notice that we will take every possible measure to defend ourselves against the possibility of attack by unconventional arms."	104	"1"
"If such an attack appears imminent, we will do everything necessary to stop it."	104	"1"
"If such a strike does occur, we will respond with overwhelming and devastating force."	104	"1"
"But we should never wait to act until we have no other choice but war."	104	"1"
"We must build and lead an international consensus for early preventive action to lock up and secure existing weapons of mass destruction and the material to manufacture more."	105	"1"
"Locking away existing nuclear weapons and material."	NA	NA
"The first step is to safeguard all bomb making material worldwide."	105	"1"
"We need to find it, catalog it, and lock it away."	105	"1"
"Our approach should be simple: treat the nuclear materials that make bombs like they are bombs."	105	"1"
"More than a decade after the fall of the Berlin Wall, Russia still has nearly 20,000 nuclear weapons and enough nuclear material to produce 50,000 more."	105	"1"
"For most of these weapons and materials, cooperative security upgrades have not been completed."	105	"1"
"The world is relying on whatever measures Russia has taken on its own."	105	"1"
"At the current pace, it will take 13 years to secure potential bomb material in the former Soviet Union."	105	"1"
"We cannot wait that long."	105	"1"
"We will do it in four years."	105	"1"
"Stopping the creation of new nuclear material for nuclear weapons."	NA	NA
"We will lead an international coalition to put an end to the production of new materials - highly enriched uranium and plutonium - for use in nuclear weapons."	105	"1"
"And we will reduce excess stocks of existing nuclear materials and weapons."	105	"1"
"We will conduct a global cleanout initiative to remove stockpiles of vulnerable highly enriched uranium at research reactors and facilities in dozens of countries around the world within four years."	105	"1"
"Leading international efforts to shut down nuclear efforts in North Korea, Iran, and elsewhere."	NA	NA
"We must show determined leadership to end the nuclear weapons program in North Korea and prevent the development of nuclear weapons in places like Iran."	105	"1"
"North Korea has sold ballistic missiles and technology in the past."	105	"1"
"The North Koreans have made it clear to the world - and to the terrorists - that they are open for business and will sell to the highest bidder."	105	"1"
"But while this Administration has been fixated on Iraq, the nuclear dangers from North Korea have multiplied."	105	"1"
"The North Koreans allegedly have made enough new fuel to make six to nine nuclear bombs."	105	"1"
